Epoch,Training Loss,Validation Loss,Phase Coherence,Learning Rate
1,0.5650151083397367,0.651703138169674,0.8053118101931462,0.0001
2,0.5481231951325739,0.6275992956785226,0.672497616606129,0.0001
3,0.5434834517821335,0.6814167755353192,0.6630335849327965,0.0001
